Congo Basin Countries,CONGO BASIN COUNTRIES
Afghanistan,"Afghanistan, AFGHANISTAN"
African Group,"African Group, AFRICA GROUP, AFRICAN GROUP"
AILAC,"AILAC, INDEPENDENT ASSOCIATION OF LATIN AMERICA AND THE CARIBBEAN"
ALBA,"ALBA, BOLIVARIAN ALLIANCE FOR THE PEOPLES OF OUR AMERICA"
Albania,"ALBANIA, Albania"
Algeria,"ALGERIA, Algeria"
Angola,"Angola, ANGOLA"
Antigua and Barbuda,"Antigua and Barbuda, ANTIGUA AND BARBUDA, ANTINGUA AND BARBUDA"
AOSIS,"ALLIANCE OF SMALL ISLAND STATES, AOSIS, SIDS"
Arab Group,"ARAB GROUP, ARAB STATES, UNITED ARAB EMIRATES"
Argentina,"ARGENTINA, Argentina"
Armenia,"Armenia, ARMENIA"
Australia,"Australia, AUSTRALIA"
Austria,"AUSTRIA, Austria"
Azerbaijan,"Azerbaijan, AZERBAIJAN"
Bahamas,"Bahamas, BAHAMAS"
Bahrain,"BAHRAIN, Bahrain"
Bangladesh,"Bangladesh, BANGLADESH"
Barbados,"BARBADOS, Barbados"
BASIC,BASIC
Belarus,"BELARUS, Belarus"
Belgium,"BELGUIM, Belgium, BELGIUM"
Belize,"BELIZE, Belize"
Benin,"BENIN, Benin"
Bhutan,"BHUTAN, Bhutan"
Bolivia,"BOLIVA, BOLIVIA, Bolivia"
Bosnia and Herzegovina,"BOSNIA AND HERZEGOVINA, Bosnia and Herzegovina"
Botswana,"Botswana, BOTSWANA"
Brazil,"BRAZIL, Brazil"
Brunei,"Brunei, BRUNEI"
Bulgaria,"BULGARIA, Bulgaria"
Burkina Faso,"BURKINA FASO, Burkina Faso"
Burundi,"BURUNDI, Burundi"
CACAM,CACAM
Cambodia,"CAMBODIA, Cambodia"
Cameroon,"CAMEROON, Cameroon"
Canada,"CANADA, Canada"
Cape Verde,"Cape Verde, CAPE VERDE "
Caribbean Community,"CARIBBEAN COMMUNITY, CARICOM"
Cartagena Dialogue,CARTAGENA DIALOGUE
Central African Republic,"Central African Republic, CAR, CENTRAL AFRICAN REPUBLIC"
Central America,"CENTRAL AMERICAN GROUP, CENTRAL AMERICAN STATES"
Central Group,CENTRAL GROUP
Central Group Eleven,CG-11
Chad,"Chad, CHAD"
Chile,"CHILE, Chile"
China,"CHINA, China"
Coalition of Rainforest Nations,"CFRN, COALITION FOR RAINFOREST NATIONS, Coalitions for Rainforest Nations, Coalitions for Rainforest Nations”"
Colombia,"Colombia, COLOMBIA"
COMIFAC,COMIFAC 
Comoros,"COMOROS, Comoros"
"Congo, Democratic Rep.","DEMOCRATIC REPUBLIC OF CONGO, ZAIRE, Congo - Kinshasa, DRC"
"Congo, Republic","Congo - Brazzaville, THE DEMOCRATIC REPUBLIC OF THE CONGO, REPUBLIC OF CONGO"
Cook Islands,"COOK ISLAND, Cook Islands, COOK ISLANDS"
Costa Rica,"Costa Rica, COSTA RICA"
Cote dIvoire,COTE DIVOIRE
country,
Croatia,"Croatia, CROATIA"
Cuba,"CUBA, Cuba"
Cyprus,"CYPRUS, Cyprus"
Czech Republic,CZECH REPUBLIC
Denmark,"Denmark, DENMARK"
Djibouti,"Djibouti, DJIBOUTI"
Dominica,"DOMINICA, Dominica"
Dominican Republic,"Dominican Republic, DOMINICAN REPUBLIC"
Ecuador,"ECUADOR, Ecuador"
Egypt,"EGYPT, Egypt"
EITs,EIT
El Salvador,"El Salvador, EL SALVADOR"
Environmental Integrity Group,"EIG, Environmental Integrity Group, ENVIRONMENTAL INTEGRITY GROUP"
Equatorial Guinea,"Equatorial Guinea, EQUATORIAL GUINEA"
Eritrea,"ERITREA, Eritrea"
Estonia,"Estonia, ESTONIA"
Ethiopia,"Ethiopia, ETHIOPIA"
EU,"EU, EUROPEAN UNION"
Fiji,"Fiji, FIJI"
Finland,"Finland, FINLAND"
France,"FRANCE, France"
G77,"GROUP OF 77 AND CHINA, G-77/ China, Group of 77, G-77/ CHINA, G77-CHINA, G77, G77 and CHINA, G-77/CHINA, G-77 AND CHINA, G77/CHINA, G-77/China, G-77"
Gabon,"GABON, Gabon"
Gambia,"GAMBIA, Gambia"
Georgia,"Georgia, GEORGIA"
Germany,"GERMANY, Germany"
Ghana,"Ghana, GHANA"
Greece,"Greece, GREECE"
Grenada,"Grenada, GRENAD, GRENADA"
Group of 9,GROUP OF NINE
Guatemala,"GUATEMALA, Guatemala"
Guinea,"Guinea, GUINEA"
Guinea-Bissau,"Guinea-Bissau, GUINEA BISSAU"
Guyana,"Guyana, GUYANA"
Haiti,"Haiti, HAITI"
Honduras,"Honduras, HONDURAS"
Hungary,"Hungary, HUNGARY"
Iceland,"ICELAND, Iceland"
India,"India, INDIA"
Indonesia,"INDONESIA, Indonesia"
Iran,"Iran, IRAN"
Iraq,"Iraq, IRAQ"
Ireland,"Ireland, IRELAND"
Israel,"ISRAEL, Israel"
Italy,"Italy, ITALY"
Jamaica,"Jamaica, JAMAICA"
Japan,"Japan, JAPAN"
Jordan,"Jordan, JORDAN"
JUSCANZ,"JUSSCANZ, JUSCANZ"
Kazakhstan,"KAZAKHSTAN, KAZAKSTAN, Kazakhstan"
Kenya,"Kenya, KENYA"
Kiribati,"KIRIBATI, Kiribati"
"Korea, Democratic Rep.",North Korea
"Korea, Republic","Republic of Korea, KOREA, REPUBLIC OF KOREA, South Korea, SOUTH KOREA"
Kuwait,"Kuwait, KUWAIT"
Kyrgyz Republic,"KYRGYZSTAN, Kyrgyzstan"
Lao PDR,"Laos, LAOS"
Latvia,"LATVIA, Latvia"
LDCs,"LDCs, LEAST DEVELOPED COUNTRIES, LDC GROUP, LDCS, Least Developed Countries"
Lebanon,"Lebanon, LEBANON"
Lesotho,"LESOTHO, Lesotho"
Liberia,"LIBERIA, Liberia"
Libya,"Libya, LIBYA"
Liechtenstein,"LICHTENSTEIN, LIECHTENSTEIN, Liechtenstein"
