meeting_type,reference,date,location,issue_number,issue_date,html_link,issue_type
INC,11,1995-02-06," New York, USA",1,1995-02-06,https://enb.iisd.org/vol12/1201000e.html,Issue
INC,11,1995-02-06," New York, USA",2,1995-02-07,https://enb.iisd.org/vol12/1202000e.html,Issue
INC,11,1995-02-06," New York, USA",3,1995-02-08,https://enb.iisd.org/vol12/1203000e.html,Issue
INC,11,1995-02-06," New York, USA",4,1995-02-09,https://enb.iisd.org/vol12/1204000e.html,Issue
INC,11,1995-02-06," New York, USA",5,1995-02-10,https://enb.iisd.org/vol12/1205000e.html,Issue
INC,11,1995-02-06," New York, USA",6,1995-02-13,https://enb.iisd.org/vol12/1206000e.html,Issue
INC,11,1995-02-06," New York, USA",7,1995-02-14,https://enb.iisd.org/vol12/1207000e.html,Issue
INC,11,1995-02-06," New York, USA",8,1995-02-15,https://enb.iisd.org/vol12/1208000e.html,Issue
INC,11,1995-02-06," New York, USA",9,1995-02-16,https://enb.iisd.org/vol12/1209000e.html,Issue
INC,11,1995-02-06," New York, USA",10,1995-02-17,https://enb.iisd.org/vol12/1210000e.html,Issue
INC,11,1995-02-06," New York, USA",11,Summary,https://enb.iisd.org/vol12/1211000e.html,Summary
COP,1,1995-03-28," Berlin, Germany",12,1995-03-28,https://enb.iisd.org/vol12/1212000e.html,First
COP,1,1995-03-28," Berlin, Germany",13,1995-03-29,https://enb.iisd.org/vol12/1213000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",14,1995-03-30,https://enb.iisd.org/vol12/1214000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",15,1995-03-31,https://enb.iisd.org/vol12/1215000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",16,1995-04-03,https://enb.iisd.org/vol12/1216000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",17,1995-04-04,https://enb.iisd.org/vol12/1217000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",18,1995-04-05,https://enb.iisd.org/vol12/1218000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",19,1995-04-06,https://enb.iisd.org/vol12/1219000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",20,1995-04-07,https://enb.iisd.org/vol12/1220000e.html,Issue
COP,1,1995-03-28," Berlin, Germany",21,Summary,https://enb.iisd.org/vol12/1221000e.html,Summary
AGBM,1,1995-08-21," Geneva, Switzerland",22,Summary,https://enb.iisd.org/vol12/1222000e.html,Summary
SB,1,1995-08-28," Geneva, Switzerland",23,Summary,https://enb.iisd.org/vol12/1223000e.html,Summary
