issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
250,UGANDA,SWITZERLAND,0,0,0,0,0,1,0,0,"SWITZERLAND opposed by UGANDA   ,  proposed conducting a compilation and synthesis of the first NAPAs."
250,ARGENTINA,SAUDI ARABIA,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,MAURITIUS,SAUDI ARABIA,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,SAUDI ARABIA,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,AOSIS,SAUDI ARABIA,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,ARGENTINA,US,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,MAURITIUS,US,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,US,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,AOSIS,US,0,0,0,0,0,1,0,0,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,SAUDI ARABIA,US,0,1,0,0,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,MAURITIUS,EU,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,MAURITIUS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,AOSIS,ARGENTINA,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,MAURITIUS,AOSIS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,AOSIS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,ARGENTINA,AOSIS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,AOSIS,EU,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,ARGENTINA,EU,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,ARGENTINA,MAURITIUS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,ARGENTINA,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,AOSIS,MAURITIUS,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,MAURITIUS,ARGENTINA,0,0,0,1,0,0,0,1,"&gt;The US, supported by SAUDI ARABIA and opposed by ARGENTINA, AOSIS, the EU and MAURITIUS, disputed discussion on inputs from the COP to the BPOA+10 and WCDR."
250,EU,CROATIA,0,1,0,0,0,0,0,1,"CROATIA, supported by the EU, expressed hope that the issue of Croatia 's level of 1990 emissions will be resolved at COP-10."
250,CANADA,EU,0,0,0,1,0,0,0,1,"JAPAN, supported by CANADA, said simplified modalities and procedures are necessary to reduce transaction costs, and the EU said simplified modalities and procedures should avoid overestimating carbon credits or compromising the Protocol 92s environmental integrity."
250,CANADA,JAPAN,0,1,0,0,0,0,0,1,"JAPAN, supported by CANADA, said simplified modalities and procedures are necessary to reduce transaction costs, and the EU said simplified modalities and procedures should avoid overestimating carbon credits or compromising the Protocol 92s environmental integrity."
250,EU,CANADA,0,0,0,1,0,0,0,1,"JAPAN, supported by CANADA, said simplified modalities and procedures are necessary to reduce transaction costs, and the EU said simplified modalities and procedures should avoid overestimating carbon credits or compromising the Protocol 92s environmental integrity."
